countryname,countrycode,indicatorname,indicatorcode,year,value,happiness_rank_2015,target_groups
Algeria,DZA,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,2014,0.7047096975,68,Apathetic
Algeria,DZA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2014,3.8000000098,68,Apathetic
Algeria,DZA,Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,2014,5.8034458738,68,Apathetic
Algeria,DZA,Population growth (annual %),SP.POP.GROW,2014,1.9403991838,68,Apathetic
Algeria,DZA,"Population, ages 0-14 (% of total)",SP.POP.0014.TO.ZS,2014,28.2059094680,68,Apathetic
Algeria,DZA,"Population, ages 15-64 (% of total)",SP.POP.1564.TO.ZS,2014,65.9906446583,68,Apathetic
Algeria,DZA,"Unemployment, female (% of female labor force)",SL.UEM.TOTL.FE.ZS,2014,16.7999992371,68,Apathetic
Algeria,DZA,Urban population,SP.URB.TOTL,2014,27304259.0000000000,68,Apathetic
Algeria,DZA,Fixed telephone subscriptions,IT.MLT.MAIN,2014,3092558.0000000000,68,Apathetic
Algeria,DZA,Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,2014,7.7451529087,68,Apathetic
Angola,AGO,Urban population,SP.URB.TOTL,2014,10484219.0000000000,137,Very Sad
Angola,AGO,Urban population (% of total),SP.URB.TOTL.IN.ZS,2014,43.2740000000,137,Very Sad
Angola,AGO,Urban population growth (annual %),SP.URB.GROW,2014,5.0978790890,137,Very Sad
Angola,AGO,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,2014,2.6100000000,137,Very Sad
Angola,AGO,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,2014,493.0000000000,137,Very Sad
Angola,AGO,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,2014,63.4792082001,137,Very Sad
Angola,AGO,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,2014,98.8000000000,137,Very Sad
Angola,AGO,"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,2014,162.2000000000,137,Very Sad
Angola,AGO,Rural population (% of total population),SP.RUR.TOTL.ZS,2014,56.7260000000,137,Very Sad
Angola,AGO,"Unemployment, female (% of female labor force)",SL.UEM.TOTL.FE.ZS,2014,7.3000001907,137,Very Sad
Angola,AGO,"Unemployment, male (% of male labor force)",SL.UEM.TOTL.MA.ZS,2014,6.4000000954,137,Very Sad
Angola,AGO,"Incidence of tuberculosis (per 100,000 people)",SH.TBS.INCD,2014,370.0000000000,137,Very Sad
Angola,AGO,"Population, ages 15-64 (% of total)",SP.POP.1564.TO.ZS,2014,49.8410898282,137,Very Sad
Angola,AGO,"Population, ages 0-14 (% of total)",SP.POP.0014.TO.ZS,2014,47.8503168545,137,Very Sad
Angola,AGO,Population growth (annual %),SP.POP.GROW,2014,3.2695524057,137,Very Sad
Angola,AGO,Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,2014,2.3085933173,137,Very Sad
Angola,AGO,Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,2014,3.2311735467,137,Very Sad
Angola,AGO,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,2014,46.2045538524,137,Very Sad
Angola,AGO,Internet users (per 100 people),IT.NET.USER.P2,2014,21.2600000000,137,Very Sad
Angola,AGO,Fixed telephone subscriptions,IT.MLT.MAIN,2014,281327.0000000000,137,Very Sad
Angola,AGO,Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,2014,1.2708302079,137,Very Sad
Angola,AGO,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2014,7.2795615411,137,Very Sad
Argentina,ARG,Rural population (% of total population),SP.RUR.TOTL.ZS,2014,8.3960000000,30,Extremely Happy
Argentina,ARG,"Incidence of tuberculosis (per 100,000 people)",SH.TBS.INCD,2014,24.0000000000,30,Extremely Happy
Argentina,ARG,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,2014,29.3413646027,30,Extremely Happy
Argentina,ARG,Internet users (per 100 people),IT.NET.USER.P2,2014,64.7000000000,30,Extremely Happy
Argentina,ARG,Fixed telephone subscriptions,IT.MLT.MAIN,2014,9439138.0000000000,30,Extremely Happy
Argentina,ARG,Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,2014,22.5799817597,30,Extremely Happy
Argentina,ARG,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,2014,1.1262290329,30,Extremely Happy
Argentina,ARG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2014,0.4536054790,30,Extremely Happy
Argentina,ARG,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,2014,158.7357619795,30,Extremely Happy
Argentina,ARG,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,2014,11.5000000000,30,Extremely Happy
Argentina,ARG,"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,2014,12.9000000000,30,Extremely Happy
Argentina,ARG,Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,2014,10.8089836893,30,Extremely Happy
Argentina,ARG,Population growth (annual %),SP.POP.GROW,2014,1.0330555529,30,Extremely Happy
Argentina,ARG,"Population, ages 0-14 (% of total)",SP.POP.0014.TO.ZS,2014,25.3464271985,30,Extremely Happy
Argentina,ARG,"Population, ages 15-64 (% of total)",SP.POP.1564.TO.ZS,2014,63.8445891122,30,Extremely Happy
Argentina,ARG,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,2014,54.0000000000,30,Extremely Happy
Argentina,ARG,Urban population growth (annual %),SP.URB.GROW,2014,1.1991243665,30,Extremely Happy
Argentina,ARG,Urban population (% of total),SP.URB.TOTL.IN.ZS,2014,91.6040000000,30,Extremely Happy
Argentina,ARG,Urban population,SP.URB.TOTL,2014,39371423.0000000000,30,Extremely Happy
Argentina,ARG,"Unemployment, male (% of male labor force)",SL.UEM.TOTL.MA.ZS,2014,7.0999999046,30,Extremely Happy
Argentina,ARG,"Unemployment, female (% of female labor force)",SL.UEM.TOTL.FE.ZS,2014,9.8000001907,30,Extremely Happy
Argentina,ARG,Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,2014,0.1306551564,30,Extremely Happy
Argentina,ARG,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,2014,40.4313595423,30,Extremely Happy
Argentina,ARG,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,2014,5.6500000000,30,Extremely Happy
Armenia,ARM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2014,3.5000000000,127,Moderately Sad
Armenia,ARM,Rural population (% of total population),SP.RUR.TOTL.ZS,2014,37.1880000000,127,Moderately Sad
Armenia,ARM,"Unemployment, female (% of female labor force)",SL.UEM.TOTL.FE.ZS,2014,18.7999992371,127,Moderately Sad
Armenia,ARM,"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,2014,14.7000000000,127,Moderately Sad
Armenia,ARM,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,2014,13.2000000000,127,Moderately Sad
Armenia,ARM,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,2014,115.9232101984,127,Moderately Sad
Armenia,ARM,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,2014,26.0000000000,127,Moderately Sad
Armenia,ARM,Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,2014,0.0448364401,127,Moderately Sad
Armenia,ARM,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,2014,46.1778456138,127,Moderately Sad
Armenia,ARM,Internet users (per 100 people),IT.NET.USER.P2,2014,46.3000000000,127,Moderately Sad
Armenia,ARM,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,2014,3.4724298112,127,Moderately Sad
Armenia,ARM,Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,2014,18.9168194263,127,Moderately Sad
Armenia,ARM,Fixed telephone subscriptions,IT.MLT.MAIN,2014,564476.0000000000,127,Moderately Sad
Armenia,ARM,Urban population,SP.URB.TOTL,2014,1888225.0000000000,127,Moderately Sad
Armenia,ARM,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,2014,2.5800000000,127,Moderately Sad
Armenia,ARM,"Incidence of tuberculosis (per 100,000 people)",SH.TBS.INCD,2014,45.0000000000,127,Moderately Sad
Armenia,ARM,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2014,2.9809880730,127,Moderately Sad
Armenia,ARM,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,2014,2.7161111287,127,Moderately Sad
Armenia,ARM,Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,2014,10.5795977185,127,Moderately Sad
Armenia,ARM,Population growth (annual %),SP.POP.GROW,2014,0.4655291714,127,Moderately Sad
Armenia,ARM,"Population, ages 0-14 (% of total)",SP.POP.0014.TO.ZS,2014,18.6636812352,127,Moderately Sad
Armenia,ARM,"Population, ages 15-64 (% of total)",SP.POP.1564.TO.ZS,2014,70.7567210462,127,Moderately Sad
Armenia,ARM,"Unemployment, male (% of male labor force)",SL.UEM.TOTL.MA.ZS,2014,15.8000001907,127,Moderately Sad
Armenia,ARM,Urban population (% of total),SP.URB.TOTL.IN.ZS,2014,62.8120000000,127,Moderately Sad
Armenia,ARM,Urban population growth (annual %),SP.URB.GROW,2014,0.2063322224,127,Moderately Sad
Australia,AUS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2014,2.4998512224,10,Extremely Happy
Australia,AUS,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,2014,3.1851404712,10,Extremely Happy
Australia,AUS,Population growth (annual %),SP.POP.GROW,2014,1.5654312833,10,Extremely Happy
Australia,AUS,Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,2014,38.8909618040,10,Extremely Happy
Australia,AUS,Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,2014,14.7242740806,10,Extremely Happy
Australia,AUS,"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,2014,3.9000000000,10,Extremely Happy
Australia,AUS,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,2014,3.2000000000,10,Extremely Happy
Australia,AUS,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,2014,131.2305468488,10,Extremely Happy
Australia,AUS,Rural population (% of total population),SP.RUR.TOTL.ZS,2014,10.7110000000,10,Extremely Happy
Australia,AUS,"Population, ages 15-64 (% of total)",SP.POP.1564.TO.ZS,2014,66.5641056164,10,Extremely Happy
Australia,AUS,"Population, ages 0-14 (% of total)",SP.POP.0014.TO.ZS,2014,18.7116203030,10,Extremely Happy
Australia,AUS,Internet users (per 100 people),IT.NET.USER.P2,2014,84.5600000000,10,Extremely Happy
Australia,AUS,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,2014,1.4136211175,10,Extremely Happy
Australia,AUS,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2014,2.4879227053,10,Extremely Happy
Australia,AUS,"Incidence of tuberculosis (per 100,000 people)",SH.TBS.INCD,2014,6.4000000000,10,Extremely Happy
Australia,AUS,Urban population (% of total),SP.URB.TOTL.IN.ZS,2014,89.2890000000,10,Extremely Happy
Australia,AUS,Urban population,SP.URB.TOTL,2014,20974643.0000000000,10,Extremely Happy
Australia,AUS,"Unemployment, male (% of male labor force)",SL.UEM.TOTL.MA.ZS,2014,6.0000000000,10,Extremely Happy
Australia,AUS,"Unemployment, female (% of female labor force)",SL.UEM.TOTL.FE.ZS,2014,5.9000000954,10,Extremely Happy
Australia,AUS,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,2014,6.0000000000,10,Extremely Happy
Australia,AUS,Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,2014,0.0118280614,10,Extremely Happy
Australia,AUS,Urban population growth (annual %),SP.URB.GROW,2014,1.7178609968,10,Extremely Happy
Australia,AUS,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,2014,45.3888263213,10,Extremely Happy
Australia,AUS,Fixed telephone subscriptions,IT.MLT.MAIN,2014,9190000.0000000000,10,Extremely Happy
Australia,AUS,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,2014,4.0800000000,10,Extremely Happy
Austria,AUT,"Incidence of tuberculosis (per 100,000 people)",SH.TBS.INCD,2014,7.8000000000,13,Extremely Happy
Austria,AUT,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2014,1.6058056049,13,Extremely Happy
Austria,AUT,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,2014,1.6283025878,13,Extremely Happy
Austria,AUT,Internet users (per 100 people),IT.NET.USER.P2,2014,81.0000000000,13,Extremely Happy
Austria,AUT,Rural population (% of total population),SP.RUR.TOTL.ZS,2014,34.0810000000,13,Extremely Happy
Austria,AUT,Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,2014,38.3126394414,13,Extremely Happy
Austria,AUT,Urban population growth (annual %),SP.URB.GROW,2014,0.7010301173,13,Extremely Happy
Austria,AUT,Urban population (% of total),SP.URB.TOTL.IN.ZS,2014,65.9190000000,13,Extremely Happy
Austria,AUT,Urban population,SP.URB.TOTL,2014,5625852.0000000000,13,Extremely Happy
Austria,AUT,"Unemployment, male (% of male labor force)",SL.UEM.TOTL.MA.ZS,2014,4.9000000954,13,Extremely Happy
Austria,AUT,"Unemployment, female (% of female labor force)",SL.UEM.TOTL.FE.ZS,2014,5.0000000000,13,Extremely Happy
Austria,AUT,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,2014,4.0000000000,13,Extremely Happy
Austria,AUT,Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,2014,0.0054668162,13,Extremely Happy
Austria,AUT,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,2014,46.0049817844,13,Extremely Happy
Austria,AUT,Fixed telephone subscriptions,IT.MLT.MAIN,2014,3266700.0000000000,13,Extremely Happy
Austria,AUT,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,2014,6.2900000000,13,Extremely Happy
Austria,AUT,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,2014,3.0000000000,13,Extremely Happy
Austria,AUT,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2014,0.3534710657,13,Extremely Happy
Austria,AUT,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,2014,1.8773962501,13,Extremely Happy
Austria,AUT,"Population, ages 15-64 (% of total)",SP.POP.1564.TO.ZS,2014,67.1236278484,13,Extremely Happy
Austria,AUT,"Population, ages 0-14 (% of total)",SP.POP.0014.TO.ZS,2014,14.2792414531,13,Extremely Happy
Austria,AUT,Population growth (annual %),SP.POP.GROW,2014,0.6479090593,13,Extremely Happy
Austria,AUT,Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,2014,18.5971306985,13,Extremely Happy
Austria,AUT,"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,2014,3.7000000000,13,Extremely Happy
Austria,AUT,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,2014,151.9112514747,13,Extremely Happy
Azerbaijan,AZE,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,2014,48.6302180319,80,Apathetic
Azerbaijan,AZE,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,2014,2.5600000000,80,Apathetic
Azerbaijan,AZE,Urban population,SP.URB.TOTL,2014,5184284.0000000000,80,Apathetic
Azerbaijan,AZE,Urban population (% of total),SP.URB.TOTL.IN.ZS,2014,54.3550000000,80,Apathetic
Azerbaijan,AZE,Urban population growth (annual %),SP.URB.GROW,2014,1.7472374261,80,Apathetic
Azerbaijan,AZE,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,2014,26.0000000000,80,Apathetic
Azerbaijan,AZE,"Unemployment, male (% of male labor force)",SL.UEM.TOTL.MA.ZS,2014,4.3000001907,80,Apathetic
Azerbaijan,AZE,Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,2014,0.0644051716,80,Apathetic
Azerbaijan,AZE,"Population, ages 0-14 (% of total)",SP.POP.0014.TO.ZS,2014,22.0364351041,80,Apathetic
Azerbaijan,AZE,Fixed telephone subscriptions,IT.MLT.MAIN,2014,1795448.0000000000,80,Apathetic
Azerbaijan,AZE,Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,2014,18.8698825325,80,Apathetic
Azerbaijan,AZE,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,2014,5.8917329636,80,Apathetic
Azerbaijan,AZE,"Incidence of tuberculosis (per 100,000 people)",SH.TBS.INCD,2014,77.0000000000,80,Apathetic
Azerbaijan,AZE,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,2014,0.1961117294,80,Apathetic
Azerbaijan,AZE,Internet users (per 100 people),IT.NET.USER.P2,2014,61.0000000000,80,Apathetic
Azerbaijan,AZE,Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,2014,5.5623187199,80,Apathetic
Azerbaijan,AZE,Population growth (annual %),SP.POP.GROW,2014,1.2769828045,80,Apathetic
Azerbaijan,AZE,"Population, ages 15-64 (% of total)",SP.POP.1564.TO.ZS,2014,72.4012461761,80,Apathetic
Azerbaijan,AZE,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,2014,110.9053633532,80,Apathetic
Azerbaijan,AZE,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,2014,28.9000000000,80,Apathetic
Azerbaijan,AZE,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2014,2.0000000000,80,Apathetic
Azerbaijan,AZE,"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,2014,32.9000000000,80,Apathetic
Azerbaijan,AZE,Rural population (% of total population),SP.RUR.TOTL.ZS,2014,45.6450000000,80,Apathetic
Azerbaijan,AZE,"Unemployment, female (% of female labor force)",SL.UEM.TOTL.FE.ZS,2014,6.0999999046,80,Apathetic
Bahrain,BHR,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,2014,15.0000000000,49,Moderately Happy
Bahrain,BHR,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,2014,19.5655043230,49,Moderately Happy
Bahrain,BHR,Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,2014,0.0344187450,49,Moderately Happy
Bahrain,BHR,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,2014,173.2739334772,49,Moderately Happy
Bahrain,BHR,Urban population growth (annual %),SP.URB.GROW,2014,0.9809679265,49,Moderately Happy
Bahrain,BHR,Urban population,SP.URB.TOTL,2014,1208291.0000000000,49,Moderately Happy
Bahrain,BHR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2014,4.4809351517,49,Moderately Happy
Bahrain,BHR,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,2014,2.8291954745,49,Moderately Happy
Bahrain,BHR,Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,2014,21.1800959891,49,Moderately Happy
Bahrain,BHR,Fixed telephone subscriptions,IT.MLT.MAIN,2014,284684.0000000000,49,Moderately Happy
Bahrain,BHR,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,2014,21.8700000000,49,Moderately Happy
Bahrain,BHR,Urban population (% of total),SP.URB.TOTL.IN.ZS,2014,88.7190000000,49,Moderately Happy
Bahrain,BHR,"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,2014,6.5000000000,49,Moderately Happy
Bahrain,BHR,"Incidence of tuberculosis (per 100,000 people)",SH.TBS.INCD,2014,14.0000000000,49,Moderately Happy
