countryname,indicatorname,year_2017,target_groups
Albania,GDP per capita growth (annual %),3.8977106660,Moderately Sad
Albania,"Incidence of tuberculosis (per 100,000 people)",20.0000000000,Moderately Sad
Albania,Individuals using the Internet (% of population),71.8470405000,Moderately Sad
Albania,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",55.9080009500,Moderately Sad
Albania,"Life expectancy at birth, female (years)",80.1480000000,Moderately Sad
Albania,"Life expectancy at birth, male (years)",76.6010000000,Moderately Sad
Albania,"Life expectancy at birth, total (years)",78.3330000000,Moderately Sad
Albania,Lifetime risk of maternal death (%),0.0262856710,Moderately Sad
Albania,Mobile cellular subscriptions (per 100 people),125.7103519000,Moderately Sad
Albania,"Mortality rate, infant (per 1,000 live births)",8.0000000000,Moderately Sad
Albania,Net migration,-69998.0000000000,Moderately Sad
Albania,Rural population (% of total population),40.6170000000,Moderately Sad
Albania,Secure Internet servers (per 1 million people),443.0203758000,Moderately Sad
Albania,"Survival to age 65, female (% of cohort)",91.1453950000,Moderately Sad
Albania,"Survival to age 65, male (% of cohort)",84.7027880000,Moderately Sad
Albania,"Tuberculosis case detection rate (%, all forms)",87.0000000000,Moderately Sad
Albania,Urban population (% of total population),59.3830000000,Moderately Sad
Algeria,"Birth rate, crude (per 1,000 people)",24.8460000000,Moderately Happy
Algeria,Employment in agriculture (% of total employment) (modeled ILO estimate),10.1599998500,Moderately Happy
Algeria,"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",3.8410000800,Moderately Happy
Algeria,"Employment in industry, female (% of female employment) (modeled ILO estimate)",24.3600006100,Moderately Happy
Algeria,"Employment in services, female (% of female employment) (modeled ILO estimate)",71.7990036000,Moderately Happy
Algeria,"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",60.8619995100,Moderately Happy
Algeria,Fixed telephone subscriptions (per 100 people),9.9083410400,Moderately Happy
Algeria,GDP per capita (current US$),4044.2766000000,Moderately Happy
Algeria,GDP per capita growth (annual %),-0.7504995590,Moderately Happy
Algeria,"Incidence of tuberculosis (per 100,000 people)",70.0000000000,Moderately Happy
Algeria,Individuals using the Internet (% of population),47.6910551500,Moderately Happy
Algeria,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",41.3839988700,Moderately Happy
Algeria,"Life expectancy at birth, female (years)",77.7350000000,Moderately Happy
Algeria,"Life expectancy at birth, male (years)",75.3070000000,Moderately Happy
Algeria,"Life expectancy at birth, total (years)",76.4990000000,Moderately Happy
Algeria,Lifetime risk of maternal death (%),0.3687163990,Moderately Happy
Algeria,Mobile cellular subscriptions (per 100 people),110.7672465000,Moderately Happy
Algeria,"Mortality rate, infant (per 1,000 live births)",20.6000000000,Moderately Happy
Algeria,Net migration,-50002.0000000000,Moderately Happy
Algeria,Rural population (% of total population),27.9480000000,Moderately Happy
Algeria,Secure Internet servers (per 1 million people),63.3257015500,Moderately Happy
Algeria,"Survival to age 65, female (% of cohort)",85.8294050000,Moderately Happy
Algeria,"Survival to age 65, male (% of cohort)",81.8895380000,Moderately Happy
Algeria,"Tuberculosis case detection rate (%, all forms)",80.0000000000,Moderately Happy
Algeria,Urban population (% of total population),72.0520000000,Moderately Happy
Angola,"Birth rate, crude (per 1,000 people)",41.2810000000,Very Sad
Angola,Employment in agriculture (% of total employment) (modeled ILO estimate),50.5579986600,Very Sad
Angola,"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",56.9889984100,Very Sad
Angola,"Employment in industry, female (% of female employment) (modeled ILO estimate)",1.1339999440,Very Sad
Angola,"Employment in services, female (% of female employment) (modeled ILO estimate)",41.8779983500,Very Sad
Angola,"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",73.7190017700,Very Sad
Angola,Fixed telephone subscriptions (per 100 people),0.5401994300,Very Sad
Angola,GDP per capita (current US$),4095.8129420000,Very Sad
Angola,GDP per capita growth (annual %),-3.4099033080,Very Sad
Angola,"Incidence of tuberculosis (per 100,000 people)",359.0000000000,Very Sad
Angola,Individuals using the Internet (% of population),14.3390793600,Very Sad
Angola,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",77.5680007900,Very Sad
Angola,"Life expectancy at birth, female (years)",63.2520000000,Very Sad
Angola,"Life expectancy at birth, male (years)",57.6770000000,Very Sad
Angola,"Life expectancy at birth, total (years)",60.3790000000,Very Sad
Angola,Lifetime risk of maternal death (%),1.4512509990,Very Sad
Angola,Mobile cellular subscriptions (per 100 people),44.6861071400,Very Sad
Angola,"Mortality rate, infant (per 1,000 live births)",53.4000000000,Very Sad
Angola,Net migration,32066.0000000000,Very Sad
Angola,Rural population (% of total population),35.1610000000,Very Sad
Angola,Secure Internet servers (per 1 million people),10.7992997800,Very Sad
Angola,"Survival to age 65, female (% of cohort)",63.6657460000,Very Sad
Angola,"Survival to age 65, male (% of cohort)",50.6346950000,Very Sad
Angola,"Tuberculosis case detection rate (%, all forms)",51.0000000000,Very Sad
Angola,Urban population (% of total population),64.8390000000,Very Sad
Argentina,"Birth rate, crude (per 1,000 people)",17.2050000000,Extremely Happy
Argentina,Employment in agriculture (% of total employment) (modeled ILO estimate),0.0590000000,Extremely Happy
Argentina,"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",0.0150000000,Extremely Happy
Argentina,"Employment in industry, female (% of female employment) (modeled ILO estimate)",9.1660003660,Extremely Happy
Argentina,"Employment in services, female (% of female employment) (modeled ILO estimate)",90.8190002400,Extremely Happy
Argentina,"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",67.2570037800,Extremely Happy
Argentina,Fixed telephone subscriptions (per 100 people),22.1779751700,Extremely Happy
Argentina,GDP per capita (current US$),14591.8633800000,Extremely Happy
Argentina,GDP per capita growth (annual %),1.6092823440,Extremely Happy
Argentina,"Incidence of tuberculosis (per 100,000 people)",27.0000000000,Extremely Happy
Argentina,Individuals using the Internet (% of population),74.2949068700,Extremely Happy
Argentina,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",60.5919990500,Extremely Happy
Argentina,"Life expectancy at birth, female (years)",79.7260000000,Extremely Happy
Argentina,"Life expectancy at birth, male (years)",72.9240000000,Extremely Happy
Argentina,"Life expectancy at birth, total (years)",76.3720000000,Extremely Happy
Argentina,Lifetime risk of maternal death (%),0.0919574330,Extremely Happy
Argentina,Mobile cellular subscriptions (per 100 people),140.8771235000,Extremely Happy
Argentina,"Mortality rate, infant (per 1,000 live births)",9.3000000000,Extremely Happy
Argentina,Net migration,24000.0000000000,Extremely Happy
Argentina,Rural population (% of total population),8.2510000000,Extremely Happy
Argentina,Secure Internet servers (per 1 million people),1628.5913910000,Extremely Happy
Argentina,"Survival to age 65, female (% of cohort)",86.9005580000,Extremely Happy
Argentina,"Survival to age 65, male (% of cohort)",76.7221140000,Extremely Happy
Argentina,"Tuberculosis case detection rate (%, all forms)",87.0000000000,Extremely Happy
Argentina,Urban population (% of total population),91.7490000000,Extremely Happy
Armenia,"Birth rate, crude (per 1,000 people)",14.2980000000,Moderately Sad
Armenia,Employment in agriculture (% of total employment) (modeled ILO estimate),31.3439998600,Moderately Sad
Armenia,"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",34.8549995400,Moderately Sad
Armenia,"Employment in industry, female (% of female employment) (modeled ILO estimate)",8.7959995270,Moderately Sad
Armenia,"Employment in services, female (% of female employment) (modeled ILO estimate)",56.3489990200,Moderately Sad
Armenia,"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",54.0730018600,Moderately Sad
Armenia,Fixed telephone subscriptions (per 100 people),17.0135333900,Moderately Sad
Armenia,GDP per capita (current US$),3914.5012680000,Moderately Sad
Armenia,GDP per capita growth (annual %),7.1837579280,Moderately Sad
Armenia,"Incidence of tuberculosis (per 100,000 people)",36.0000000000,Moderately Sad
Armenia,Individuals using the Internet (% of population),64.7448843300,Moderately Sad
Armenia,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",55.6529998800,Moderately Sad
Armenia,"Life expectancy at birth, female (years)",78.1650000000,Moderately Sad
Armenia,"Life expectancy at birth, male (years)",71.1150000000,Moderately Sad
Armenia,"Life expectancy at birth, total (years)",74.7970000000,Moderately Sad
Armenia,Lifetime risk of maternal death (%),0.0492176760,Moderately Sad
Armenia,Mobile cellular subscriptions (per 100 people),118.4642306000,Moderately Sad
Armenia,"Mortality rate, infant (per 1,000 live births)",11.6000000000,Moderately Sad
Armenia,Net migration,-24989.0000000000,Moderately Sad
Armenia,Rural population (% of total population),36.8970000000,Moderately Sad
Armenia,Secure Internet servers (per 1 million people),271.3248975000,Moderately Sad
Armenia,"Survival to age 65, female (% of cohort)",88.1353150000,Moderately Sad
Armenia,"Survival to age 65, male (% of cohort)",72.7355220000,Moderately Sad
Armenia,"Tuberculosis case detection rate (%, all forms)",80.0000000000,Moderately Sad
Armenia,Urban population (% of total population),63.1030000000,Moderately Sad
Australia,"Birth rate, crude (per 1,000 people)",12.6000000000,Extremely Happy
Australia,Employment in agriculture (% of total employment) (modeled ILO estimate),2.5959999560,Extremely Happy
Australia,"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",1.6510000230,Extremely Happy
Australia,"Employment in industry, female (% of female employment) (modeled ILO estimate)",7.6279997830,Extremely Happy
Australia,"Employment in services, female (% of female employment) (modeled ILO estimate)",90.7200012200,Extremely Happy
Australia,"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",66.8899993900,Extremely Happy
Australia,Fixed telephone subscriptions (per 100 people),34.4117582500,Extremely Happy
Australia,GDP per capita (current US$),54066.4712700000,Extremely Happy
Australia,GDP per capita growth (annual %),0.6576538840,Extremely Happy
Australia,"Incidence of tuberculosis (per 100,000 people)",6.7000000000,Extremely Happy
Australia,Individuals using the Internet (% of population),86.5450488500,Extremely Happy
Australia,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",65.2340011600,Extremely Happy
Australia,"Life expectancy at birth, female (years)",84.6000000000,Extremely Happy
Australia,"Life expectancy at birth, male (years)",80.5000000000,Extremely Happy
Australia,"Life expectancy at birth, total (years)",82.5000000000,Extremely Happy
Australia,Lifetime risk of maternal death (%),0.0122133850,Extremely Happy
Australia,Mobile cellular subscriptions (per 100 people),111.7080516000,Extremely Happy
Australia,"Mortality rate, infant (per 1,000 live births)",3.1000000000,Extremely Happy
Australia,Net migration,791229.0000000000,Extremely Happy
Australia,Rural population (% of total population),14.0960000000,Extremely Happy
Australia,Secure Internet servers (per 1 million people),21544.7937700000,Extremely Happy
Australia,"Survival to age 65, female (% of cohort)",93.4591290000,Extremely Happy
Australia,"Survival to age 65, male (% of cohort)",89.2961920000,Extremely Happy
Australia,"Tuberculosis case detection rate (%, all forms)",87.0000000000,Extremely Happy
Australia,Urban population (% of total population),85.9040000000,Extremely Happy
Austria,"Birth rate, crude (per 1,000 people)",10.0000000000,Extremely Happy
Austria,Employment in agriculture (% of total employment) (modeled ILO estimate),3.9300000670,Extremely Happy
Austria,"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",3.6789999010,Extremely Happy
Austria,"Employment in industry, female (% of female employment) (modeled ILO estimate)",11.4040002800,Extremely Happy
Austria,"Employment in services, female (% of female employment) (modeled ILO estimate)",84.9169998200,Extremely Happy
Austria,"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",62.4150009200,Extremely Happy
Austria,Fixed telephone subscriptions (per 100 people),42.6626217200,Extremely Happy
Austria,GDP per capita (current US$),47549.0790400000,Extremely Happy
Austria,GDP per capita growth (annual %),1.7670874380,Extremely Happy
Austria,"Incidence of tuberculosis (per 100,000 people)",7.3000000000,Extremely Happy
Austria,Individuals using the Internet (% of population),87.9355865900,Extremely Happy
Austria,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",60.5219993600,Extremely Happy
Austria,"Life expectancy at birth, female (years)",84.0000000000,Extremely Happy
Austria,"Life expectancy at birth, male (years)",79.4000000000,Extremely Happy
Austria,"Life expectancy at birth, total (years)",81.6439024400,Extremely Happy
Austria,Lifetime risk of maternal death (%),0.0074339500,Extremely Happy
Austria,Mobile cellular subscriptions (per 100 people),123.1192958000,Extremely Happy
Austria,"Mortality rate, infant (per 1,000 live births)",2.9000000000,Extremely Happy
Austria,Net migration,324998.0000000000,Extremely Happy
Austria,Rural population (% of total population),41.9060000000,Extremely Happy
Austria,Secure Internet servers (per 1 million people),7431.7146360000,Extremely Happy
Austria,"Survival to age 65, female (% of cohort)",92.5222180000,Extremely Happy
Austria,"Survival to age 65, male (% of cohort)",86.3669030000,Extremely Happy
Austria,"Tuberculosis case detection rate (%, all forms)",87.0000000000,Extremely Happy
Austria,Urban population (% of total population),58.0940000000,Extremely Happy
Azerbaijan,"Birth rate, crude (per 1,000 people)",14.6000000000,Apathetic
Azerbaijan,Employment in agriculture (% of total employment) (modeled ILO estimate),36.3499984700,Apathetic
Azerbaijan,"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",42.1809997600,Apathetic
Azerbaijan,"Employment in industry, female (% of female employment) (modeled ILO estimate)",5.9800000190,Apathetic
Azerbaijan,"Employment in services, female (% of female employment) (modeled ILO estimate)",51.8390007000,Apathetic
Azerbaijan,"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",67.1709976200,Apathetic
Azerbaijan,Fixed telephone subscriptions (per 100 people),17.1485030500,Apathetic
Azerbaijan,GDP per capita (current US$),4147.0897160000,Apathetic
Azerbaijan,GDP per capita growth (annual %),-0.8243484830,Apathetic
Azerbaijan,"Incidence of tuberculosis (per 100,000 people)",66.0000000000,Apathetic
Azerbaijan,Individuals using the Internet (% of population),79.0000000000,Apathetic
Azerbaijan,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",66.5920028700,Apathetic
Azerbaijan,"Life expectancy at birth, female (years)",75.2150000000,Apathetic
Azerbaijan,"Life expectancy at birth, male (years)",70.1280000000,Apathetic
Azerbaijan,"Life expectancy at birth, total (years)",72.6930000000,Apathetic
Azerbaijan,Lifetime risk of maternal death (%),0.0576744060,Apathetic
Azerbaijan,Mobile cellular subscriptions (per 100 people),102.8610548000,Apathetic
Azerbaijan,"Mortality rate, infant (per 1,000 live births)",20.4000000000,Apathetic
Azerbaijan,Net migration,6002.0000000000,Apathetic
Azerbaijan,Rural population (% of total population),44.6570000000,Apathetic
Azerbaijan,Secure Internet servers (per 1 million people),259.4876636000,Apathetic
Azerbaijan,"Survival to age 65, female (% of cohort)",83.8109190000,Apathetic
Azerbaijan,"Survival to age 65, male (% of cohort)",74.3782920000,Apathetic
Azerbaijan,"Tuberculosis case detection rate (%, all forms)",80.0000000000,Apathetic
Azerbaijan,Urban population (% of total population),55.3430000000,Apathetic
Bahrain,"Birth rate, crude (per 1,000 people)",14.3650000000,Moderately Happy
Bahrain,Employment in agriculture (% of total employment) (modeled ILO estimate),1.0230000020,Moderately Happy
Bahrain,"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",0.0460000000,Moderately Happy
Bahrain,"Employment in industry, female (% of female employment) (modeled ILO estimate)",9.0509996410,Moderately Happy
Bahrain,"Employment in services, female (% of female employment) (modeled ILO estimate)",90.9029998800,Moderately Happy
Bahrain,"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",87.1309967000,Moderately Happy
Bahrain,Fixed telephone subscriptions (per 100 people),20.0669176100,Moderately Happy
Bahrain,GDP per capita (current US$),23709.4304700000,Moderately Happy
Bahrain,GDP per capita growth (annual %),-0.9327540800,Moderately Happy
Bahrain,"Incidence of tuberculosis (per 100,000 people)",12.0000000000,Moderately Happy
Bahrain,Individuals using the Internet (% of population),95.8781357500,Moderately Happy
Bahrain,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",72.5940017700,Moderately Happy
Bahrain,"Life expectancy at birth, female (years)",78.1430000000,Moderately Happy
Bahrain,"Life expectancy at birth, male (years)",76.1880000000,Moderately Happy
Bahrain,"Life expectancy at birth, total (years)",77.0320000000,Moderately Happy
Bahrain,Lifetime risk of maternal death (%),0.0328247810,Moderately Happy
Bahrain,Mobile cellular subscriptions (per 100 people),158.2568089000,Moderately Happy
Bahrain,"Mortality rate, infant (per 1,000 live births)",6.2000000000,Moderately Happy
Bahrain,Net migration,239000.0000000000,Moderately Happy
Bahrain,Rural population (% of total population),10.8140000000,Moderately Happy
Bahrain,Secure Internet servers (per 1 million people),359.4199484000,Moderately Happy
Bahrain,"Survival to age 65, female (% of cohort)",88.9923250000,Moderately Happy
Bahrain,"Survival to age 65, male (% of cohort)",86.2613060000,Moderately Happy
Bahrain,"Tuberculosis case detection rate (%, all forms)",87.0000000000,Moderately Happy
Bahrain,Urban population (% of total population),89.1860000000,Moderately Happy
Bangladesh,"Birth rate, crude (per 1,000 people)",18.5010000000,Moderately Sad
Bangladesh,Employment in agriculture (% of total employment) (modeled ILO estimate),40.5970001200,Moderately Sad
Bangladesh,"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",59.8860015900,Moderately Sad
Bangladesh,"Employment in industry, female (% of female employment) (modeled ILO estimate)",16.7569999700,Moderately Sad
Bangladesh,"Employment in services, female (% of female employment) (modeled ILO estimate)",23.3579998000,Moderately Sad
Bangladesh,"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",78.7030029300,Moderately Sad
Bangladesh,Fixed telephone subscriptions (per 100 people),0.4431011810,Moderately Sad
Bangladesh,GDP per capita (current US$),1563.9138570000,Moderately Sad
Bangladesh,GDP per capita growth (annual %),6.1421039480,Moderately Sad
Bangladesh,"Incidence of tuberculosis (per 100,000 people)",221.0000000000,Moderately Sad
Bangladesh,Individuals using the Internet (% of population),15.0000000000,Moderately Sad
Bangladesh,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",58.8590011600,Moderately Sad
Bangladesh,"Life expectancy at birth, female (years)",73.9780000000,Moderately Sad
Bangladesh,"Life expectancy at birth, male (years)",70.4090000000,Moderately Sad
Bangladesh,"Life expectancy at birth, total (years)",72.0520000000,Moderately Sad
Bangladesh,Lifetime risk of maternal death (%),0.3930688430,Moderately Sad
Bangladesh,Mobile cellular subscriptions (per 100 people),94.5264735000,Moderately Sad
Bangladesh,"Mortality rate, infant (per 1,000 live births)",26.5000000000,Moderately Sad
Bangladesh,Net migration,-1847503.0000000000,Moderately Sad
Bangladesh,Rural population (% of total population),64.1420000000,Moderately Sad
Bangladesh,Secure Internet servers (per 1 million people),65.2155153000,Moderately Sad
Bangladesh,"Survival to age 65, female (% of cohort)",79.1977510000,Moderately Sad
Bangladesh,"Survival to age 65, male (% of cohort)",73.4017570000,Moderately Sad
Bangladesh,"Tuberculosis case detection rate (%, all forms)",69.0000000000,Moderately Sad
Bangladesh,Urban population (% of total population),35.8580000000,Moderately Sad
Belarus,"Birth rate, crude (per 1,000 people)",10.8000000000,Apathetic
Belarus,Employment in agriculture (% of total employment) (modeled ILO estimate),10.6960001000,Apathetic
Belarus,"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",7.2630000110,Apathetic
Belarus,"Employment in industry, female (% of female employment) (modeled ILO estimate)",19.7140007000,Apathetic
Belarus,"Employment in services, female (% of female employment) (modeled ILO estimate)",73.0230026200,Apathetic
Belarus,"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",66.2590026900,Apathetic
Belarus,Fixed telephone subscriptions (per 100 people),47.6159894900,Apathetic
Belarus,GDP per capita (current US$),5761.7471200000,Apathetic
Belarus,GDP per capita growth (annual %),2.5674826080,Apathetic
Belarus,"Incidence of tuberculosis (per 100,000 people)",37.0000000000,Apathetic
Belarus,Individuals using the Internet (% of population),74.4364454100,Apathetic
Belarus,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",64.4270019500,Apathetic
Belarus,"Life expectancy at birth, female (years)",79.2000000000,Apathetic
Belarus,"Life expectancy at birth, male (years)",69.3000000000,Apathetic
Belarus,"Life expectancy at birth, total (years)",74.1292682900,Apathetic
Belarus,Lifetime risk of maternal death (%),0.0042093340,Apathetic
Belarus,Mobile cellular subscriptions (per 100 people),120.7921902000,Apathetic
Belarus,"Mortality rate, infant (per 1,000 live births)",2.7000000000,Apathetic
Belarus,Net migration,43648.0000000000,Apathetic
Belarus,Rural population (% of total population),21.8660000000,Apathetic
Belarus,Secure Internet servers (per 1 million people),2259.8866490000,Apathetic
Belarus,"Survival to age 65, female (% of cohort)",87.9279280000,Apathetic
Belarus,"Survival to age 65, male (% of cohort)",66.7322460000,Apathetic
Belarus,"Tuberculosis case detection rate (%, all forms)",80.0000000000,Apathetic
Belarus,Urban population (% of total population),78.1340000000,Apathetic
Belgium,"Birth rate, crude (per 1,000 people)",10.5000000000,Extremely Happy
Belgium,Employment in agriculture (% of total employment) (modeled ILO estimate),1.1640000340,Extremely Happy
Belgium,"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",0.7049999830,Extremely Happy
Belgium,"Employment in industry, female (% of female employment) (modeled ILO estimate)",8.5719995500,Extremely Happy
Belgium,"Employment in services, female (% of female employment) (modeled ILO estimate)",90.7229995700,Extremely Happy
Belgium,"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",54.9039993300,Extremely Happy
Belgium,Fixed telephone subscriptions (per 100 people),37.4948554000,Extremely Happy
Belgium,GDP per capita (current US$),44288.5080400000,Extremely Happy
Belgium,GDP per capita growth (annual %),1.5120550700,Extremely Happy
Belgium,"Incidence of tuberculosis (per 100,000 people)",9.2000000000,Extremely Happy
Belgium,Individuals using the Internet (% of population),87.6796808200,Extremely Happy
Belgium,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",53.3779983500,Extremely Happy
Belgium,"Life expectancy at birth, female (years)",83.9000000000,Extremely Happy
Belgium,"Life expectancy at birth, male (years)",79.2000000000,Extremely Happy
Belgium,"Life expectancy at birth, total (years)",81.4926829300,Extremely Happy
Belgium,Lifetime risk of maternal death (%),0.0089016880,Extremely Happy
Belgium,Mobile cellular subscriptions (per 100 people),99.4530352200,Extremely Happy
Belgium,"Mortality rate, infant (per 1,000 live births)",3.0000000000,Extremely Happy
Belgium,Net migration,240000.0000000000,Extremely Happy
Belgium,Rural population (% of total population),2.0390000000,Extremely Happy
Belgium,Secure Internet servers (per 1 million people),8300.5440450000,Extremely Happy
Belgium,"Survival to age 65, female (% of cohort)",91.5706560000,Extremely Happy
Belgium,"Survival to age 65, male (% of cohort)",86.0373220000,Extremely Happy
Belgium,"Tuberculosis case detection rate (%, all forms)",87.0000000000,Extremely Happy
Belgium,Urban population (% of total population),97.9610000000,Extremely Happy
Belize,"Birth rate, crude (per 1,000 people)",21.0810000000,Moderately Happy
Belize,Employment in agriculture (% of total employment) (modeled ILO estimate),17.4179992700,Moderately Happy
Belize,"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",5.2500000000,Moderately Happy
Belize,"Employment in industry, female (% of female employment) (modeled ILO estimate)",9.2650003430,Moderately Happy
Belize,"Employment in services, female (% of female employment) (modeled ILO estimate)",85.4860000600,Moderately Happy
Belize,"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",76.9229965200,Moderately Happy
Belize,Fixed telephone subscriptions (per 100 people),5.6108939270,Moderately Happy
Belize,GDP per capita (current US$),4887.5772080000,Moderately Happy
Belize,GDP per capita growth (annual %),-0.1311489950,Moderately Happy
Belize,"Incidence of tuberculosis (per 100,000 people)",36.0000000000,Moderately Happy
Belize,Individuals using the Internet (% of population),47.0826258000,Moderately Happy
Belize,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",64.8369979900,Moderately Happy
Belize,"Life expectancy at birth, female (years)",77.4530000000,Moderately Happy
Belize,"Life expectancy at birth, male (years)",71.5330000000,Moderately Happy
Belize,"Life expectancy at birth, total (years)",74.3650000000,Moderately Happy
Belize,Lifetime risk of maternal death (%),0.0941234510,Moderately Happy
Belize,Mobile cellular subscriptions (per 100 people),63.7202643100,Moderately Happy
Belize,"Mortality rate, infant (per 1,000 live births)",11.8000000000,Moderately Happy
Belize,Net migration,6000.0000000000,Moderately Happy
Belize,Rural population (% of total population),54.3990000000,Moderately Happy
Belize,Secure Internet servers (per 1 million people),8002.2567060000,Moderately Happy
Belize,"Survival to age 65, female (% of cohort)",81.9958460000,Moderately Happy
Belize,"Survival to age 65, male (% of cohort)",70.2856960000,Moderately Happy
Belize,"Tuberculosis case detection rate (%, all forms)",87.0000000000,Moderately Happy
Belize,Urban population (% of total population),45.6010000000,Moderately Happy
Benin,"Birth rate, crude (per 1,000 people)",36.6210000000,Very Sad
Benin,Employment in agriculture (% of total employment) (modeled ILO estimate),40.0429992700,Very Sad
Benin,"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",31.8269996600,Very Sad
Benin,"Employment in industry, female (% of female employment) (modeled ILO estimate)",16.6170005800,Very Sad
Benin,"Employment in services, female (% of female employment) (modeled ILO estimate)",51.5559997600,Very Sad
Benin,"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",71.4629974400,Very Sad
Benin,Fixed telephone subscriptions (per 100 people),0.5081520700,Very Sad
Benin,GDP per capita (current US$),1136.5928470000,Very Sad
Benin,GDP per capita growth (annual %),2.8051238310,Very Sad
Benin,"Incidence of tuberculosis (per 100,000 people)",58.0000000000,Very Sad
