Country,Happiness Score 2015,Happiness Rank 2015,Happiness Score 2016,Happiness Rank 2016,Happiness Score 2017,Happiness Rank 2017,Happiness Score 2018,Happiness Rank 2018,Happiness Score 2019,Happiness Rank 2019
El Salvador,6.13,42,6.068,46,6.002999783,45,6.167,40,6.253,35
Guatemala,6.123,43,6.324,39,6.453999996,29,6.382,30,6.436,27
Uzbekistan,6.003,44,5.987,49,5.971000195,47,6.096,44,6.174,41
Slovakia,5.995,45,6.078,45,6.09800005,40,6.173,39,6.198,38
Japan,5.987,46,5.921,53,5.920000076,51,5.915,54,5.886,58
South Korea,5.984,47,5.835,57,5.837999821,55,5.875,57,5.895,54
Ecuador,5.975,48,5.976,51,6.007999897,44,5.973,48,6.028,50
Bahrain,5.96,49,6.218,42,6.086999893,41,6.105,43,6.199,37
Italy,5.948,50,5.977,50,5.964000225,48,6,47,6.223,36
Bolivia,5.89,51,5.822,59,5.822999954,58,5.752,62,5.779,61
Moldova,5.889,52,5.897,55,5.837999821,56,5.64,67,5.529,71
Paraguay,5.878,53,5.538,70,5.493000031,70,5.681,64,5.743,63
Kazakhstan,5.855,54,5.919,54,5.818999767,60,5.79,60,5.809,60
Slovenia,5.848,55,5.768,63,5.757999897,62,5.948,51,6.118,44
Lithuania,5.833,56,5.813,60,5.90199995,52,5.952,50,6.149,42
Nicaragua,5.828,57,5.992,48,6.071000099,43,6.141,41,6.105,45
Peru,5.824,58,5.743,64,5.715000153,63,5.663,65,5.697,65
Belarus,5.813,59,5.802,61,5.568999767,67,5.483,73,5.323,81
Poland,5.791,60,5.835,57,5.97300005,46,6.123,42,6.182,40
Malaysia,5.77,61,6.005,47,6.084000111,42,6.322,35,5.339,80
Croatia,5.759,62,5.488,74,5.293000221,77,5.321,82,5.432,75
Libya,5.754,63,5.615,67,5.525000095,68,5.566,70,5.525,72
Russia,5.716,64,5.856,56,5.962999821,49,5.81,59,5.648,68
Jamaica,5.709,65,5.51,73,5.31099987,76,5.89,56,5.89,56
North Cyprus,5.695,66,5.771,62,5.809999943,61,,,,
Cyprus,5.689,67,5.546,69,5.620999813,65,5.762,61,6.046,49
Algeria,5.605,68,6.355,38,5.872000217,53,5.295,84,5.211,88
Kosovo,5.589,69,5.401,77,5.278999805,78,5.662,66,6.1,46
Turkmenistan,5.548,70,5.658,65,5.822000027,59,5.636,68,5.247,87
Mauritius,5.477,71,5.648,66,5.629000187,64,5.891,55,5.888,57
Hong Kong,5.474,72,5.458,75,,,5.43,76,5.43,76
Estonia,5.429,73,5.517,72,5.611000061,66,5.739,63,5.893,55
Indonesia,5.399,74,5.314,79,5.262000084,81,5.093,96,5.192,92
Vietnam,5.36,75,5.061,96,5.073999882,94,5.103,95,5.175,94
Turkey,5.332,76,5.389,78,5.5,69,5.483,74,5.373,79
Kyrgyzstan,5.286,77,5.185,85,5.004000187,98,5.131,92,5.261,86
Nigeria,5.268,78,4.875,103,5.073999882,95,5.155,91,5.265,85
Bhutan,5.253,79,5.196,84,5.011000156,97,5.082,97,5.082,95
Azerbaijan,5.212,80,5.291,81,5.234000206,85,5.201,87,5.208,90
Pakistan,5.194,81,5.132,92,5.269000053,80,5.472,75,5.653,67
Jordan,5.192,82,5.303,80,5.335999966,74,5.161,90,4.906,101
Montenegro,5.192,82,5.161,88,5.236999989,83,5.347,81,5.523,73
China,5.14,84,5.245,83,5.272999763,79,5.246,86,5.191,93
Zambia,5.129,85,4.795,106,4.513999939,116,4.377,125,4.107,138
Romania,5.124,86,5.528,71,5.824999809,57,5.945,52,6.07,48
Serbia,5.123,87,5.177,86,5.394999981,73,5.398,78,5.603,70
Portugal,5.102,88,5.123,94,5.195000172,89,5.41,77,5.693,66
Latvia,5.098,89,5.56,68,5.849999905,54,5.933,53,5.94,53
Philippines,5.073,90,5.279,82,5.429999828,72,5.524,71,5.631,69
Somaliland region,5.057,91,,,,,,,,
Morocco,5.013,92,5.151,90,5.235000134,84,5.254,85,5.208,89
Macedonia,5.007,93,5.121,95,5.175000191,92,5.185,89,,
Mozambique,4.971,94,,,4.550000191,113,4.417,123,4.466,123
Albania,4.959,95,4.655,109,4.644000053,109,4.586,112,4.719,107
Bosnia and Herzegovina,4.949,96,5.163,87,5.18200016,90,5.129,93,5.386,78
Lesotho,4.898,97,,,3.808000088,139,3.808,141,3.802,144
Dominican Republic,4.885,98,5.155,89,5.230000019,86,5.302,83,5.425,77
Laos,4.876,99,4.876,102,,,4.623,110,4.796,105
Mongolia,4.874,100,4.907,101,4.954999924,100,5.125,94,5.285,83
Swaziland,4.867,101,,,,,,,4.212,135
Greece,4.857,102,5.033,99,5.227000237,87,5.358,79,5.287,82
Lebanon,4.839,103,5.129,93,5.224999905,88,5.358,80,5.197,91
Hungary,4.8,104,5.145,91,5.323999882,75,5.62,69,5.758,62
Honduras,4.788,105,4.871,104,5.181000233,91,5.504,72,5.86,59
Tajikistan,4.786,106,4.996,100,5.040999889,96,5.199,88,5.467,74
Tunisia,4.739,107,5.045,98,4.804999828,102,4.592,111,4.461,124
Palestinian Territories,4.715,108,4.754,108,4.775000095,103,4.743,104,4.696,110
Bangladesh,4.694,109,4.643,110,4.607999802,110,4.5,115,4.456,125
Iran,4.686,110,4.813,105,4.691999912,108,4.707,106,4.548,117
Ukraine,4.681,111,4.324,123,4.096000195,132,4.103,138,4.332,133
Iraq,4.677,112,4.575,112,4.497000217,117,4.456,117,4.437,126
South Africa,4.642,113,4.459,116,4.828999996,101,4.724,105,4.722,106
Ghana,4.633,114,4.276,124,4.119999886,131,4.657,108,4.996,98
Zimbabwe,4.61,115,4.193,131,3.875,138,3.692,144,3.663,146
Liberia,4.571,116,3.622,150,3.532999992,148,3.495,149,3.975,141
India,4.565,117,4.404,118,4.315000057,122,4.19,133,4.015,140
Sudan,4.55,118,4.139,133,4.138999939,130,4.139,137,,
Haiti,4.518,119,4.028,136,3.602999926,145,3.582,148,3.597,147
Congo (Kinshasa),4.517,120,4.272,125,4.28000021,126,4.245,132,4.418,127
Nepal,4.514,121,4.793,107,4.961999893,99,4.88,101,4.913,100
Ethiopia,4.512,122,4.508,115,4.460000038,119,4.35,127,4.286,134
Sierra Leone,4.507,123,4.635,111,4.709000111,106,4.571,113,4.374,129
Mauritania,4.436,124,4.201,130,4.291999817,123,4.356,126,4.49,122
Kenya,4.419,125,4.356,122,4.552999973,112,4.41,124,4.509,121
Djibouti,4.369,126,,,,,,,,
Armenia,4.35,127,4.36,121,4.375999928,121,4.321,129,4.559,116
Botswana,4.332,128,3.974,137,3.766000032,142,3.59,146,3.488,148
Myanmar,4.307,129,4.395,119,4.545000076,114,4.308,130,4.36,131
Georgia,4.297,130,4.252,126,4.285999775,125,4.34,128,4.519,119
Malawi,4.292,131,4.156,132,3.970000029,136,3.587,147,3.41,150
Sri Lanka,4.271,132,4.415,117,4.440000057,120,4.471,116,4.366,130
Cameroon,4.252,133,4.513,114,4.695000172,107,4.975,99,5.044,96
Bulgaria,4.218,134,4.217,129,4.714000225,105,4.933,100,5.011,97
Egypt,4.194,135,4.362,120,4.735000134,104,4.419,122,4.166,137
Yemen,4.077,136,3.724,147,3.592999935,146,3.355,152,3.38,151
Angola,4.033,137,3.866,141,3.795000076,140,3.795,142,,
Mali,3.995,138,4.073,135,4.190000057,127,4.447,118,4.39,128
Congo (Brazzaville),3.989,139,4.236,127,4.290999889,124,4.559,114,4.812,103
Comoros,3.956,140,3.956,138,,,,,3.973,142
Uganda,3.931,141,3.739,145,4.080999851,133,4.161,135,4.189,136
Senegal,3.904,142,4.219,128,4.534999847,115,4.631,109,4.681,111
Gabon,3.896,143,4.121,134,4.465000153,118,4.758,103,4.799,104
Niger,3.845,144,3.856,142,4.027999878,135,4.166,134,4.628,114
Cambodia,3.819,145,3.907,140,4.168000221,129,4.433,120,4.7,109
Tanzania,3.781,146,3.666,149,3.348999977,153,3.303,153,3.231,153
Madagascar,3.681,147,3.695,148,3.644000053,144,3.774,143,3.933,143
Central African Republic,3.678,148,,,2.693000078,155,3.083,155,3.083,155
Chad,3.667,149,3.763,144,3.936000109,137,4.301,131,4.35,132
Guinea,3.656,150,3.607,151,3.506999969,149,3.964,140,4.534,118
Ivory Coast,3.655,151,3.916,139,4.179999828,128,4.671,107,4.944,99
Burkina Faso,3.587,152,3.739,145,4.032000065,134,4.424,121,4.587,115
Afghanistan,3.575,153,3.36,154,3.79399991,141,3.632,145,3.203,154
Rwanda,3.465,154,3.515,152,3.470999956,151,3.408,151,3.334,152
Benin,3.34,155,3.484,153,3.657000065,143,4.141,136,4.883,102
Syria,3.006,156,3.069,156,3.461999893,152,3.462,150,3.462,149
Burundi,2.905,157,2.905,157,2.904999971,154,2.905,156,3.775,145
Togo,2.839,158,3.303,155,3.494999886,150,3.999,139,4.085,139
Puerto Rico,,,7.039,15,,,,,,
Belize,,,5.956,52,5.955999851,50,5.956,49,,
Somalia,,,5.44,76,5.151000023,93,4.982,98,4.668,112
Somaliland Region,,,5.057,97,,,,,,
Namibia,,,4.574,113,4.573999882,111,4.441,119,4.639,113
South Sudan,,,3.832,143,3.59100008,147,3.254,154,2.853,156
Taiwan Province of China,,,,,6.421999931,33,,,,
"Hong Kong S.A.R., China",,,,,5.472000122,71,,,,
Trinidad & Tobago,,,,,,,6.192,38,6.192,39
Northern Cyprus,,,,,,,5.835,58,5.718,64
North Macedonia,,,,,,,,,5.274,84
Gambia,,,,,,,,,4.516,120
